"year","month","state","primary_mode","etiology","etiology_status","setting","illnesses","hospitalizations","deaths","food_contaminated_ingredient","ifsac_category","water_exposure","etiology_category","setting_category"
2001,9,"Illinois","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",12,0,0,,,,"Viral","Food Service"
2001,9,"New York","Food","Salmonella enterica","Confirmed","Restaurant: Other",5,1,0,,,,"Bacterial","Food Service"
2001,9,"Georgia","Food","","","Restaurant: Other",5,2,0,,,,"Unknown","Food Service"
2001,9,"Georgia","Food","Clostridium perfringens","Confirmed","Restaurant: Other",2,0,0,,,,"Bacterial","Food Service"
2001,10,"Georgia","Food","Staphylococcus aureus","Suspected","School/college/university",20,0,0,,,,"Bacterial","School"
2001,10,"Alabama","Food","Hepatitis A","Confirmed","Unknown",5,0,0,,,,"Viral","Unknown"
2001,10,"Illinois","Water","Unknown","Suspected","School/college/university",79,0,0,,,"Drinking water","Unknown","School"
2001,10,"Wisconsin","Food","Campylobacter jejuni;Salmonella enterica","Confirmed;Confirmed","Private home/residence",80,0,0,,"Multiple",,"Bacterial","Home"
2001,10,"Wisconsin","Food","","","Restaurant: Other",31,0,0,,,,"Unknown","Food Service"
2001,10,"Wisconsin","Food","Escherichia coli, Shiga toxin-producing","Confirmed","Other",34,6,0,,,,"Bacterial","Other"
2001,10,"New York","Food","Salmonella enterica","Confirmed","Restaurant: Other",40,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"West Virginia","Food","Staphylococcus aureus","Confirmed","School/college/university",16,0,0,,"Multiple",,"Bacterial","School"
2001,10,"Vermont","Food","Salmonella enterica","Confirmed","School/college/university",4,2,0,,,,"Bacterial","School"
2001,10,"California","Food","Clostridium perfringens","Suspected","Restaurant: Other",2,0,0,,,,"Bacterial","Food Service"
2001,10,"California","Food","","","Other",7,0,0,,,,"Unknown","Other"
2001,10,"California","Food","","","Restaurant: Other",9,0,0,,"Multiple",,"Unknown","Food Service"
2001,10,"California","Food","","","Restaurant: Other",2,2,0,,"Multiple",,"Unknown","Food Service"
2001,10,"California","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",5,0,0,,"Multiple",,"Viral","Food Service"
2001,10,"Ohio","Food","Clostridium perfringens","Confirmed","Restaurant: Other",3,0,0,"beef","Beef",,"Bacterial","Food Service"
2001,10,"South Carolina","Food","Norovirus Genogroup I","Suspected","Camp",36,0,0,,,,"Viral","Event"
2001,10,"California","Food","Clostridium perfringens","Suspected","Restaurant: Other",6,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Kentucky","Food","","","Unknown",11,0,0,,,,"Unknown","Unknown"
2001,10,"New Jersey","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",7,0,0,,,,"Viral","Food Service"
2001,10,"Pennsylvania","Food","Clostridium perfringens","Confirmed","Religious facility",16,0,0,"beef","Beef",,"Bacterial","Event"
2001,10,"California","Food","Shigella sonnei","Confirmed","Restaurant: Other",9,1,0,,,,"Bacterial","Food Service"
2001,10,"California","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",6,0,0,,"Multiple",,"Viral","Food Service"
2001,10,"Illinois","Food","","","School/college/university",175,0,0,,,,"Unknown","School"
2001,10,"Illinois","Food","Norovirus Genogroup I","Suspected","School/college/university",51,0,0,,,,"Viral","School"
2001,10,"Illinois","Food","Norovirus Genogroup I","Suspected","Caterer",63,0,0,,"Multiple",,"Viral","Food Service"
2001,10,"New York","Food","Staphylococcus aureus","Confirmed","Caterer",72,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Illinois","Food","Bacillus cereus;Staphylococcus aureus","Suspected;Suspected","Restaurant: Other",5,0,0,,,,"Bacterial","Food Service"
2001,10,"Texas","Food","Norovirus Genogroup I","Suspected","Long-term care/nursing home/assisted living facility",16,0,0,,,,"Viral","Healthcare"
2001,10,"Maryland","Food","","","Restaurant: Other",5,0,0,,,,"Unknown","Food Service"
2001,10,"Illinois","Food","Bacillus cereus;Clostridium perfringens","Suspected;Suspected","Restaurant: Other",5,0,0,,,,"Bacterial","Food Service"
2001,10,"Minnesota","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",40,0,0,,"Multiple",,"Viral","Food Service"
2001,10,"Colorado","Food","Clostridium perfringens","Suspected","Restaurant: Other",15,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Tennessee","Food","Norovirus unknown","Confirmed","Private home/residence",9,0,0,,,,"Viral","Home"
2001,10,"Illinois","Food","Bacillus cereus;Staphylococcus aureus","Suspected;Suspected","Restaurant: Other",5,0,0,,,,"Bacterial","Food Service"
2001,10,"Kansas","Food","Hepatitis A","Confirmed","Restaurant: Other",7,1,0,,"Root/Underground",,"Viral","Food Service"
2001,10,"Washington","Food","Other - Chemical/Toxin","Suspected","Other",2,0,0,,"Other",,"Chemical","Other"
2001,10,"Washington","Food","Norovirus Genogroup I","Confirmed","Restaurant: Other",56,0,0,,"Multiple",,"Viral","Food Service"
2001,10,"Texas","Food","","","Restaurant: Other",2,0,0,,,,"Unknown","Food Service"
2001,10,"Florida","Food","Norovirus Genogroup II","Confirmed","School/college/university",33,0,0,,"Multiple",,"Viral","School"
2001,10,"Florida","Food","Norovirus Genogroup I","Suspected","Grocery store/bakery/deli/convenience store",46,0,0,,"Multiple",,"Viral","Store"
2001,10,"Florida","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,10,"Florida","Food","","","Restaurant: Other",2,0,0,,,,"Unknown","Food Service"
2001,10,"Florida","Food","Norovirus unknown","Suspected","Restaurant: Other",2,0,0,,"Multiple",,"Viral","Food Service"
2001,10,"Florida","Food","","","Restaurant: Other",2,0,0,,"Multiple",,"Unknown","Food Service"
2001,10,"Michigan","Food","","","Restaurant: Other",34,2,0,,,,"Unknown","Food Service"
2001,10,"Idaho","Food","Norovirus Genogroup I","Confirmed","Private home/residence",17,0,0,,"Game",,"Viral","Home"
2001,10,"Florida","Food","Shigella unknown","Confirmed","Restaurant: Other",8,2,0,,,,"Bacterial","Food Service"
2001,10,"Maryland","Food","","","Restaurant: Other",2,0,0,,"Beef",,"Unknown","Food Service"
2001,10,"Washington","Food","","","Private home/residence",4,0,0,,"Crustaceans",,"Unknown","Home"
2001,10,"Michigan","Food","","","Restaurant: Other",19,1,0,,,,"Unknown","Food Service"
2001,10,"Oregon","Food","Norovirus Genogroup I","Suspected","Restaurant: Other",37,0,0,,"Multiple",,"Viral","Food Service"
2001,10,"Washington","Food","Salmonella enterica","Confirmed","Restaurant: Other",2,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Georgia","Food","Staphylococcus aureus","Confirmed","Restaurant: Other",18,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Washington","Food","","","Restaurant: Other",3,0,0,,"Multiple",,"Unknown","Food Service"
2001,10,"Washington","Food","","","Restaurant: Other",3,0,0,,"Multiple",,"Unknown","Food Service"
2001,10,"Florida","Food","","","Restaurant: Other",3,0,0,,,,"Unknown","Food Service"
2001,10,"Florida","Food","Clostridium perfringens","Suspected","Restaurant: Other",2,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Florida","Food","","","Restaurant: Other",7,0,0,,"Multiple",,"Unknown","Food Service"
2001,10,"Florida","Food","","","Restaurant: Other",3,0,0,,"Multiple",,"Unknown","Food Service"
2001,10,"Florida","Food","Scombroid toxin","Confirmed","Restaurant: Other",3,0,0,,"Fish",,"Chemical","Food Service"
2001,10,"Florida","Food","Ciguatoxin","Confirmed","Restaurant: Other",11,0,0,,"Fish",,"Chemical","Food Service"
2001,10,"New York","Food","Staphylococcus aureus","Confirmed","Caterer",32,0,0,,"Multiple",,"Bacterial","Food Service"
2001,10,"Ohio","Food","Norovirus Genogroup I","Suspected","Restaurant: Other;Private home/residence",30,0,0,,,,"Viral","Food Service"
